transaction_id,date,gross_sales,units_sold,manufacturing_cost,freight_cost,marketing_cost,cogs,net_sales,profit_loss,profit_margin,fiscal_year,month,quarter,year
1001,2022-01-01,5745.07,78,1200.82,232.15,228.38,1661.35,4083.72,3585.31,62.41,FY21-22,1,1,2022
1002,2022-01-02,4792.6,170,2320.52,296.18,572.46,3189.16,1603.44,646.69,13.49,FY21-22,1,1,2022
1003,2022-01-03,5971.53,188,1624.6,423.2,230.61,2278.41,3693.12,3009.6,50.4,FY21-22,1,1,2022
1004,2022-01-04,7284.54,21,1710.74,46.26,400.82,2157.82,5126.72,4479.37,61.49,FY21-22,1,1,2022
1005,2022-01-05,4648.77,29,1723.68,258.86,629.83,2612.37,2036.4,1252.69,26.95,FY21-22,1,1,2022
1006,2022-01-06,4648.79,190,893.04,251.6,598.64,1743.28,2905.51,2382.53,51.25,FY21-22,1,1,2022
1007,2022-01-07,7368.82,52,2471.94,174.32,568.55,3214.81,4154.01,3189.57,43.28,FY21-22,1,1,2022
1008,2022-01-08,6151.15,135,688.54,358.55,696.94,1744.03,4407.12,3883.91,63.14,FY21-22,1,1,2022
1009,2022-01-09,4295.79,59,1897.85,158.5,584.0,2640.35,1655.44,863.34,20.1,FY21-22,1,1,2022
1010,2022-01-10,5813.84,38,1809.33,170.01,197.15,2176.49,3637.35,2984.4,51.33,FY21-22,1,1,2022
1011,2022-01-11,4304.87,194,1261.5,385.11,444.57,2091.18,2213.69,1586.34,36.85,FY21-22,1,1,2022
1012,2022-01-12,4301.41,48,1833.23,450.06,493.76,2777.05,1524.36,691.24,16.07,FY21-22,1,1,2022
1013,2022-01-13,5362.94,193,1341.21,292.39,476.19,2109.79,3253.15,2620.21,48.86,FY21-22,1,1,2022
1014,2022-01-14,2130.08,180,1162.27,178.26,407.43,1747.96,382.12,-142.27,-6.68,FY21-22,1,1,2022
1015,2022-01-15,2412.62,187,1734.78,229.44,345.48,2309.7,102.92,-589.99,-24.45,FY21-22,1,1,2022
1016,2022-01-16,4156.57,160,996.72,400.8,860.11,2257.63,1898.94,1221.65,29.39,FY21-22,1,1,2022
1017,2022-01-17,3480.75,181,1387.87,311.64,441.69,2141.2,1339.55,697.19,20.03,FY21-22,1,1,2022
1018,2022-01-18,5471.37,47,1202.91,289.9,852.74,2345.55,3125.82,2422.16,44.27,FY21-22,1,1,2022
1019,2022-01-19,3637.96,93,1332.01,331.3,328.81,1992.12,1645.84,1048.2,28.81,FY21-22,1,1,2022
1020,2022-01-20,2881.54,160,1716.36,296.23,598.56,2611.15,270.39,-512.96,-17.8,FY21-22,1,1,2022
1021,2022-01-21,7198.47,137,1202.82,454.57,534.45,2191.84,5006.63,4349.08,60.42,FY21-22,1,1,2022
1022,2022-01-22,4661.34,135,1403.84,225.09,361.71,1990.64,2670.7,2073.51,44.48,FY21-22,1,1,2022
1023,2022-01-23,5101.29,54,1248.43,213.6,429.87,1891.9,3209.39,2641.82,51.79,FY21-22,1,1,2022
1024,2022-01-24,2862.88,61,2222.0,161.65,497.73,2881.38,-18.5,-882.91,-30.84,FY21-22,1,1,2022
1025,2022-01-25,4183.43,89,1671.31,246.0,373.38,2290.69,1892.74,1205.53,28.82,FY21-22,1,1,2022
1026,2022-01-26,5166.38,187,1610.03,190.8,461.58,2262.41,2903.97,2225.25,43.07,FY21-22,1,1,2022
1027,2022-01-27,3273.51,133,1841.71,321.81,145.26,2308.78,964.73,272.1,8.31,FY21-22,1,1,2022
1028,2022-01-28,5563.55,128,1202.93,302.09,606.73,2111.75,3451.8,2818.28,50.66,FY21-22,1,1,2022
1029,2022-01-29,4099.04,17,1929.63,192.09,684.07,2805.79,1293.25,451.51,11.02,FY21-22,1,1,2022
1030,2022-01-30,4562.46,94,1673.09,358.91,568.15,2600.15,1962.31,1182.26,25.91,FY21-22,1,1,2022
1031,2022-01-31,4097.44,138,719.55,451.68,839.64,2010.87,2086.57,1483.31,36.2,FY21-22,1,1,2022
1032,2022-02-01,7778.42,17,785.98,335.78,602.31,1724.07,6054.35,5537.13,71.19,FY21-22,2,1,2022
1033,2022-02-02,4979.75,166,1213.85,45.65,671.42,1930.92,3048.83,2469.55,49.59,FY21-22,2,1,2022
1034,2022-02-03,3413.43,105,839.5,498.71,685.75,2023.96,1389.47,782.28,22.92,FY21-22,2,1,2022
1035,2022-02-04,6233.82,111,1380.86,374.69,87.35,1842.9,4390.92,3838.05,61.57,FY21-22,2,1,2022
1036,2022-02-05,3168.73,14,993.13,495.64,563.55,2052.32,1116.41,500.71,15.8,FY21-22,2,1,2022
1037,2022-02-06,5313.3,95,1451.14,409.07,292.56,2152.77,3160.53,2514.7,47.33,FY21-22,2,1,2022
1038,2022-02-07,2060.49,184,2205.85,429.05,322.86,2957.76,-897.27,-1784.6,-86.61,FY21-22,2,1,2022
1039,2022-02-08,3007.72,43,1475.31,320.53,348.95,2144.79,862.93,219.49,7.3,FY21-22,2,1,2022
1040,2022-02-09,5295.29,64,1348.52,273.77,453.09,2075.38,3219.91,2597.3,49.05,FY21-22,2,1,2022
1041,2022-02-10,6107.7,128,1694.12,337.35,597.57,2629.04,3478.66,2689.95,44.04,FY21-22,2,1,2022
1042,2022-02-11,5257.05,180,1151.79,229.12,565.1,1946.01,3311.04,2727.24,51.88,FY21-22,2,1,2022
1043,2022-02-12,4826.53,167,1921.71,343.39,498.11,2763.21,2063.32,1234.36,25.57,FY21-22,2,1,2022
1044,2022-02-13,4548.34,123,1747.61,37.32,608.4,2393.33,2155.01,1437.01,31.59,FY21-22,2,1,2022
1045,2022-02-14,2782.22,154,1519.43,304.29,617.52,2441.24,340.98,-391.39,-14.07,FY21-22,2,1,2022
1046,2022-02-15,3920.23,35,1577.16,434.47,566.39,2578.02,1342.21,568.8,14.51,FY21-22,2,1,2022
1047,2022-02-16,4309.04,145,2520.87,309.43,241.32,3071.62,1237.42,315.93,7.33,FY21-22,2,1,2022
